
# Original

### 1) Tf-idf Vectorizer
   NAME                   ,     PRECISION       ,    RECALL           ,     F1 SCORE        ,   ACCURACY
['RandomForestClassifier', 0.6542056074766355, 0.06975585450921774, 0.12606933813597482, 0.8269899278010517]
['BaggingClassifier', 0.5741239892183289, 0.10612855007473841, 0.1791421362489487, 0.8260094482574204]
['ExtraTreesClassifier', 0.48563218390804597, 0.08420528151469855, 0.1435244161358811, 0.8202157054995989]
['DecisionTreeClassifier', 0.279182356105433, 0.2585949177877429, 0.26849456802897054, 0.7479276227827792]
['CalibratedClassifierCV', 0.44594594594594594, 0.016442451420029897, 0.03171552138395003, 0.8203939745075318]
['SGDClassifier', 0.43223443223443225, 0.05879422022919781, 0.10350877192982456, 0.8178090738925038]
['KNeighborsClassifier', 0.30243445692883897, 0.3218734429496761, 0.3118513154718803, 0.74587752919155]
['MLPClassifier', 0.36037527593818985, 0.32536123567513703, 0.341974338832155, 0.7760049915322221]
#### c. csvReplaceBR12
['BernoulliNB', 0.32501599488163785, 0.5062282012954659, 0.3958698616793298, 0.7235939031999287]
['RandomForestClassifier', 0.7419354838709677, 0.0458395615346288, 0.08634443923040827, 0.8264551207772529]
['BaggingClassifier', 0.654639175257732, 0.06327852516193323, 0.1154020899591095, 0.8264551207772529]
['ExtraTreesClassifier', 0.5805243445692884, 0.07722969606377678, 0.1363236587510994, 0.8249398342098226]
['DecisionTreeClassifier', 0.30358191426893716, 0.25759840558046837, 0.27870619946091646, 0.761476067385685]
['CalibratedClassifierCV', 0.44871794871794873, 0.017438963627304436, 0.03357314148681055, 0.8203939745075318]
['SGDClassifier', 0.41591928251121074, 0.184853014449427, 0.2559503276992066, 0.8077368749442909]
['KNeighborsClassifier', 0.32524026302478504, 0.32037867463876435, 0.32279116465863456, 0.7595151082984223]
['MLPClassifier', 0.3379416282642089, 0.32884902840059793, 0.33333333333333337, 0.7646849095284785]
#### d. csv_3_ReplaceBR_bigram
['BernoulliNB', 0.3346966598500341, 0.4892874937717987, 0.3974903865614248, 0.7346465816917729]
['RandomForestClassifier', 0.6351931330472103, 0.0737419033383159, 0.13214285714285717, 0.8267225242891524]
['BaggingClassifier', 0.5611702127659575, 0.10513203786746388, 0.17708770457406633, 0.8252072377217221]
['ExtraTreesClassifier', 0.527363184079602, 0.10563029397110114, 0.17600664176006642, 0.8230680096265264]
['DecisionTreeClassifier', 0.2772378516624041, 0.2700548081714001, 0.27359919232710755, 0.743470897584455]
['CalibratedClassifierCV', 0.4098360655737705, 0.01245640259093174, 0.024177949709864605, 0.8201265709956325]
['SGDClassifier', 0.32323232323232326, 0.03188839063278525, 0.058049886621315196, 0.8148676352616098]
['KNeighborsClassifier', 0.3326551373346897, 0.32585949177877427, 0.32922225018877416, 0.7624565469293163]
['MLPClassifier', 0.3894101876675603, 0.2894867962132536, 0.3320948842526436, 0.7916926642303236]
_________
## BR1 BR2 tags re-tagging
There appeared to be many replacement of BR1 or BR2 in a single sentence itself but the other BR tag didn't signify any relation. So using CharOffset BR1 and BR2 was tagged. (2)csv file used here

### 1. Tf-idf Vectorizer
['BernoulliNB', 0.3767342582710779, 0.17588440458395616, 0.23980978260869568, 0.8005169801230057]
['RandomForestClassifier', 0.7333333333333333, 0.14798206278026907, 0.24626865671641793, 0.8379534717889295]
['BaggingClassifier', 0.5003357958361316, 0.37120079720976584, 0.4262013729977117, 0.8211961850432302]
['ExtraTreesClassifier', 0.6144278606965174, 0.12306925759840558, 0.20506434205064342, 0.8293074249041804]
['DecisionTreeClassifier', 0.38560687432867885, 0.3577478824115595, 0.37115533729645905, 0.783135751849541]
['CalibratedClassifierCV', 0.7047289504036909, 0.3044344793223717, 0.42519137091162146, 0.8527497994473661]
['SGDClassifier', 0.7670940170940171, 0.17887394120577976, 0.29010101010101014, 0.8433906765308851]
['MLPClassifier', 0.5056701030927835, 0.48878923766816146, 0.4970863947301748, 0.8230680096265264]
### 2. Word2Vec

#### a. xmlOriginalSen
['BernoulliNB', 0.2776796230859835, 0.46985550572994517, 0.34906533407366275, 0.6865139495498708]
['RandomForestClassifier', 0.42136498516320475, 0.07075236671649228, 0.12116040955631399, 0.81638292182904]
['BaggingClassifier', 0.5090361445783133, 0.08420528151469855, 0.14450619923044036, 0.8216418575630626]
['ExtraTreesClassifier', 0.31386861313868614, 0.12855007473841554, 0.1823966065747614, 0.7938318923255192]
['DecisionTreeClassifier', 0.24411764705882352, 0.24813153961136025, 0.24610822831727205, 0.728050628398253]
['CalibratedClassifierCV', 0.28735632183908044, 0.01245640259093174, 0.023877745940783193, 0.8178090738925038]
['SGDClassifier', 0.312, 0.01943198804185351, 0.03658536585365853, 0.816917728852839]
['KNeighborsClassifier', 0.2928436911487759, 0.30991529646238164, 0.30113773904623575, 0.7426686870487565]
['MLPClassifier', 0.3931330472103004, 0.22820129546586945, 0.28877679697351827, 0.7989125590516089]
#### b. xmlReplaceBR
['BernoulliNB', 0.251865671641791, 0.47085201793721976, 0.3281819760375065, 0.6551386041536679]
['RandomForestClassifier', 0.46, 0.0687593423019432, 0.11963589076723015, 0.8189678224440681]
['BaggingClassifier', 0.471976401179941, 0.07972097658196313, 0.13640238704177324, 0.8194134949639005]
['ExtraTreesClassifier', 0.3360995850622407, 0.08071748878923767, 0.13017276014463638, 0.807023798912559]
['DecisionTreeClassifier', 0.2433408577878104, 0.26856003986048826, 0.25532922785409756, 0.7197611195293698]
['CalibratedClassifierCV', 0.6923076923076923, 0.008968609865470852, 0.017707820954254796, 0.8219983955789286]
['SGDClassifier', 0.34854771784232363, 0.08370702541106129, 0.13499397348332662, 0.8080934129601569]
['KNeighborsClassifier', 0.2779209621993127, 0.3223716990533134, 0.2985005767012687, 0.7289419734379178]
['MLPClassifier', 0.44483985765124556, 0.18684603886397608, 0.2631578947368421, 0.8128175416703806]
#### c. csv_2_ReplaceBR
['BernoulliNB', 0.28015844436442205, 0.3876432486297957, 0.32525083612040134, 0.7122738211961851]
['RandomForestClassifier', 0.543046357615894, 0.0408570004982561, 0.07599629286376273, 0.8222657990908281]
['BaggingClassifier', 0.47280334728033474, 0.05630293971101146, 0.10062333036509351, 0.8199483019876994]
['ExtraTreesClassifier', 0.39705882352941174, 0.06726457399103139, 0.11504047720494247, 0.8148676352616098]
['DecisionTreeClassifier', 0.21404841006169908, 0.22471350274040858, 0.21925133689839574, 0.7136999732596488]
['CalibratedClassifierCV', 0.6923076923076923, 0.013452914798206279, 0.026392961876832842, 0.822444068098761]
['SGDClassifier', 0.2720360461841735, 0.4813153961136024, 0.3476070528967255, 0.6767982886175239]
['KNeighborsClassifier', 0.23998276604911675, 0.27752864972595914, 0.2573937153419594, 0.7135217042517158]
['MLPClassifier', 0.41448189762796506, 0.1654210264075735, 0.23646723646723647, 0.8088956234958552]
#### c. csv_2_ReplaceBR12_bigram
['BernoulliNB', 0.3242481203007519, 0.34379671150971597, 0.3337363966142684, 0.7544344415723326]
['RandomForestClassifier', 0.6148148148148148, 0.041355256601893375, 0.07749766573295985, 0.8238702201622248]
['BaggingClassifier', 0.4927536231884058, 0.06776283009466866, 0.11914148050810339, 0.8207505125233978]
['ExtraTreesClassifier', 0.3434343434343434, 0.06776283009466866, 0.11319184352892218, 0.8100543720474196]
['DecisionTreeClassifier', 0.2762162162162162, 0.25460886895864476, 0.2649727767695099, 0.7473036812550138]
['CalibratedClassifierCV', 0.7027027027027027, 0.012954658694569009, 0.02544031311154599, 0.822444068098761]
['SGDClassifier', 0.4744186046511628, 0.05082212257100149, 0.09180918091809182, 0.8201265709956325]
['KNeighborsClassifier', 0.2647199617041647, 0.27553562531141007, 0.27001953125, 0.7334878331402086]
['MLPClassifier', 0.44021739130434784, 0.16143497757847533, 0.23623769595333577, 0.8132632141902131]
### Middle Sentences taken

### 1. Tf-idf Vectorizer
['BernoulliNB', 0.37844940867279897, 0.14349775784753363, 0.20809248554913296, 0.804617167305464]
['RandomForestClassifier', 0.7418244406196214, 0.2147483806676632, 0.3330757341576507, 0.8461538461538461]
['BaggingClassifier', 0.6201680672268908, 0.36771300448430494, 0.4616828276509228, 0.8465995186736786]
['ExtraTreesClassifier', 0.6898305084745763, 0.2027902341803687, 0.313438582980362, 0.8410731794277565]
['DecisionTreeClassifier', 0.45845438698431146, 0.3931240657698057, 0.4232832618025751, 0.8083608164720564]
['CalibratedClassifierCV', 0.6401590457256461, 0.3208769307424016, 0.42748091603053434, 0.8462429806578127]
['SGDClassifier', 0.6777920410783055, 0.26307922272047835, 0.37903804737975594, 0.8457973081379803]
['MLPClassifier', 0.514752040175769, 0.408570004982561, 0.45555555555555555, 0.8252963722256885]
### 2. Word2Vec

#### a. xmlOriginalSen
['BernoulliNB', 0.34198998748435544, 0.5445939212755356, 0.4201422256390544, 0.7310812015331135]
['RandomForestClassifier', 0.6382978723404256, 0.08968609865470852, 0.15727391874180863, 0.8280595418486496]
['BaggingClassifier', 0.525, 0.11509715994020926, 0.1888026154474867, 0.8230680096265264]
['ExtraTreesClassifier', 0.5352112676056338, 0.11360239162929746, 0.187422934648582, 0.8237810856582584]
['DecisionTreeClassifier', 0.3289885297184567, 0.3143996013951171, 0.3215286624203821, 0.7626348159372494]
